timestamp,participant_id,task_1_completed,task_2_completed,task_3_completed,likert_q1,likert_q2,likert_q3,likert_q4,likert_q5,comment
2026-03-13T22:32:25.892072+00:00,P-001,0,0,0,1,1,1,1,1,
2026-03-13T22:32:27.061102+00:00,P-001,0,0,0,1,1,1,1,1,
2026-03-13T22:32:27.647345+00:00,P-001,0,0,0,1,1,1,1,1,
2026-03-13T22:32:27.829911+00:00,P-001,0,0,0,1,1,1,1,1,
2026-03-13T22:32:28.055567+00:00,P-001,0,0,0,1,1,1,1,1,
2026-03-13T22:32:28.226457+00:00,P-001,0,0,0,1,1,1,1,1,
2026-03-13T22:32:28.457981+00:00,P-001,0,0,0,1,1,1,1,1,
2026-03-13T22:32:28.676260+00:00,P-001,0,0,0,1,1,1,1,1,
2026-03-13T22:32:28.952750+00:00,P-001,0,0,0,1,1,1,1,1,
2026-03-13T22:32:29.153219+00:00,P-001,0,0,0,1,1,1,1,1,
2026-03-13T22:32:29.337913+00:00,P-001,0,0,0,1,1,1,1,1,
2026-03-13T22:32:29.570365+00:00,P-001,0,0,0,1,1,1,1,1,
2026-03-13T22:32:40.427646+00:00,P-001,0,0,0,5,1,3,4,5,
