case_id,user_id,department,previous_department,application,role,entitlement,hire_date,entitlement_grant_date,department_change_date,last_recertification_date,user_status,last_login_days,stale_access_days,privilege_level,toxic_combo,business_need,entitlement_owner,manager_name,assignment_type,source_role,effective_permission,risk_score,recommendation,rule_explanation,confidence,history_events
CASE-0001,USR-2424,HR,,Ticketing,Analyst,export_data,2019-08-18,2020-01-06,,,active,8,15,low,0,Berechtigung ist für die Rolle 'Analyst' in der Anwendung 'Ticketing' innerhalb der Standard-Rollenmatrix erforderlich.,Data Compliance Owner,Mara Klein,Role-derived,HR_Analyst_Base,True,-57,retain,recent_login<=30d (-10); access_recently_used<=30d (-12); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),99.0,2019-08-18|Joiner|Eintritt ins Unternehmen;2020-01-06|Grant|Berechtigung 'export_data' zugewiesen;2026-03-04|Login|Letzter Login
CASE-0002,USR-3615,Operations,,BI,Analyst,export_data,2025-06-17,2026-01-18,,,active,87,142,low,1,Direkte Zuweisung für eine operative Tätigkeit in 'BI' (Berechtigung: 'export_data').,Data Compliance Owner,Tim Behrens,Direct,,True,48,review,inactive_login>60d (+20); stale_access>90d (+8); low_privilege (-10); toxic_combination (+40); no_department_change (-5); active_user (-5),68.2,2025-06-17|Joiner|Eintritt ins Unternehmen;2025-12-15|Login|Letzter Login;2026-01-18|Grant|Berechtigung 'export_data' zugewiesen
CASE-0003,USR-7201,Finance,,ERP,Employee,admin_console,2023-05-17,2023-11-10,,,active,75,424,medium,1,Berechtigung ist für die Rolle 'Employee' in der Anwendung 'ERP' innerhalb der Standard-Rollenmatrix erforderlich.,Security Operations Owner,Lars Hoffmann,Role-derived,Finance_Employee_Base,True,90,revoke,inactive_login>60d (+20); stale_access>365d (+30); medium_privilege (+10); toxic_combination (+40); no_department_change (-5); active_user (-5),78.0,2023-05-17|Joiner|Eintritt ins Unternehmen;2023-11-10|Grant|Berechtigung 'admin_console' zugewiesen;2025-12-27|Login|Letzter Login
CASE-0004,USR-7227,IT,,IAM,Analyst,export_data,2019-11-11,2020-10-15,,,active,162,427,low,0,Berechtigung ist für die Rolle 'Analyst' in der Anwendung 'IAM' innerhalb der Standard-Rollenmatrix erforderlich.,Data Compliance Owner,Sven Berger,Role-derived,IT_Analyst_Base,True,30,retain,inactive_login>120d (+35); stale_access>365d (+30); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),57.0,2019-11-11|Joiner|Eintritt ins Unternehmen;2020-10-15|Grant|Berechtigung 'export_data' zugewiesen;2025-10-01|Login|Letzter Login
CASE-0005,USR-4598,Operations,,BI,Analyst,manage_identities,2020-02-24,2021-01-01,,2026-02-02,active,196,397,low,0,Berechtigung ist für die Rolle 'Analyst' in der Anwendung 'BI' innerhalb der Standard-Rollenmatrix erforderlich.,IAM Platform Owner,Tim Behrens,Role-derived,Operations_Analyst_Base,True,30,retain,inactive_login>120d (+35); stale_access>365d (+30); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),57.0,2020-02-24|Joiner|Eintritt ins Unternehmen;2021-01-01|Grant|Berechtigung 'manage_identities' zugewiesen;2025-08-28|Login|Letzter Login;2026-02-02|Recert|Letzte Rezertifizierung (bestätigt)
CASE-0006,USR-3287,Sales,,CRM,Employee,user_support,2025-09-16,2025-12-06,,2025-07-25,active,143,275,low,0,Berechtigung ist für die Rolle 'Employee' in der Anwendung 'CRM' innerhalb der Standard-Rollenmatrix erforderlich.,Service Desk Owner,David Brandt,Role-derived,Sales_Employee_Base,True,18,retain,inactive_login>120d (+35); stale_access>180d (+18); low_privilege (-10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),73.8,2025-07-25|Recert|Letzte Rezertifizierung (bestätigt);2025-09-16|Joiner|Eintritt ins Unternehmen;2025-10-20|Login|Letzter Login;2025-12-06|Grant|Berechtigung 'user_support' zugewiesen
CASE-0007,USR-2040,Finance,,Payroll,Contractor,export_data,2020-11-24,2021-08-12,,2025-10-14,active,152,239,low,1,Berechtigung ist für die Rolle 'Contractor' in der Anwendung 'Payroll' innerhalb der Standard-Rollenmatrix erforderlich.,Data Compliance Owner,Nina Weber,Role-derived,Finance_Contractor_Base,True,83,revoke,inactive_login>120d (+35); stale_access>180d (+18); low_privilege (-10); toxic_combination (+40); sensitive_role (+10); no_department_change (-5); active_user (-5),68.2,2020-11-24|Joiner|Eintritt ins Unternehmen;2021-08-12|Grant|Berechtigung 'export_data' zugewiesen;2025-10-11|Login|Letzter Login;2025-10-14|Recert|Letzte Rezertifizierung (bestätigt)
CASE-0008,USR-9201,IT,,CRM,Employee,admin_console,2025-05-15,2025-09-29,,2025-07-24,active,27,445,medium,0,Direkte Zuweisung für eine operative Tätigkeit in 'CRM' (Berechtigung: 'admin_console').,Security Operations Owner,Sven Berger,Direct,,True,5,retain,recent_login<=30d (-10); stale_access>365d (+30); medium_privilege (+10); no_toxic_combination (-15); no_department_change (-5); active_user (-5),92.0,2025-05-15|Joiner|Eintritt ins Unternehmen;2025-07-24|Recert|Letzte Rezertifizierung (bestätigt);2025-09-29|Grant|Berechtigung 'admin_console' zugewiesen;2026-02-13|Login|Letzter Login
CASE-0009,USR-6038,Operations,,CRM,Analyst,read_reports,2025-05-25,2026-02-21,,,inactive,61,449,medium,0,Berechtigung ist für die Rolle 'Analyst' in der Anwendung 'CRM' innerhalb der Standard-Rollenmatrix erforderlich.,Data Governance Team,Tim Behrens,Role-derived,Operations_Analyst_Base,True,55,review,inactive_login>60d (+20); stale_access>365d (+30); medium_privilege (+10); no_toxic_combination (-15); no_department_change (-5); inactive_user (+15),71.0,2025-05-25|Joiner|Eintritt ins Unternehmen;2026-01-10|Login|Letzter Login;2026-02-21|Grant|Berechtigung 'read_reports' zugewiesen
CASE-0010,USR-9835,Legal,Sales,BI,Contractor,user_support,2025-04-27,2025-07-01,2025-09-11,2025-06-28,active,51,365,low,1,Direkte Zuweisung für eine operative Tätigkeit in 'BI' (Berechtigung: 'user_support').,Service Desk Owner,Markus Hahn,Direct,,True,78,revoke,inactive_login>30d (+10); stale_access>180d (+18); low_privilege (-10); toxic_combination (+40); sensitive_role (+10); dept_change_privilege_creep (+15); active_user (-5),61.2,2025-04-27|Joiner|Eintritt ins Unternehmen;2025-06-28|Recert|Letzte Rezertifizierung (bestätigt);2025-07-01|Grant|Berechtigung 'user_support' zugewiesen;2025-09-11|Mover|Abteilungswechsel von Sales nach Legal;2026-01-20|Login|Letzter Login
